145771 - COURO BOV.ACAB. ECO SOFT,CAMEL,10/12MM(119/2)|OC-190336/189483 OI-
3028|190,4300|06,10
145277 - COURO BOV.,ECO SOFT,PRETO,09/11MM(56/2)|OC-192824-191743 OI-
3117|101,6000|07,10
145277 - COURO BOV.,ECO SOFT,PRETO,09/11MM(39/2)|OC-192824-191743 OI-
3117|73,5100|07,10
145771 - COURO BOV.ACAB. ECO SOFT,CAMEL,10/12MM(2/2)|OC-192824-191743 OI-
3117|3,1300|06,10
148591 - COURO BOV.,RASPA CAMURCAO,MACHIATTO,10/12MM(40PC)|OC- 2590411 OI - 2758|35,2500|04,28
152381 - COURO BOV.,RASPA CAMURCAO,BROWN,18/20MM(35PC)|OC-3691011 OI - 2818|48,7500|4,00
152554 - COURO BOV.,RASPA CAMURCAO,PRETO,18/20MM(15PC)|OC-3691011 OI - 2818|60,6600|4,00
156034 - CAM ARGENTINA CHOCO  10/12"MASIERO(AMOS)(10PC)|OC - 3480011 OI - 2810|12,7600|4,00
148591 - COURO BOV.,RASPA CAMURCAO,MACHIATTO,10/12MM(60PC)|OC - 6656611 OI - 2990|4,8000|4,00
148591 - COURO BOV.,RASPA CAMURCAO,MACHIATTO,10/12MM|OC -5031411 OI - 2889|9,4500|4,00
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC -5031411 OI - 2889|44,9300|4,00
135755 - COURO BOV.,ACAB. NAPA MINUANO,MARROM,10/12MM|OC -5031411 OI - 2889|47,5400|4,00
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC- 2461311|15,4900|4,00
155884 - CAL NAPOLI OFF WHITE 10/12"MEL(AMOS)(2/2)|OC - 5007711 OI - 2887|13,0900|4,00
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC - 3480011 OI - 2810|74,2100|4,00
135755 - COURO BOV.,ACAB. NAPA MINUANO,MARROM,10/12MM|OC- 4381311 OI - 2832|12,3200|4,00
129784 - COURO BOV.,ACAB. NAPA MINUANO,COR PRETO,10/12MM|OC - 5007711 OI - 2887|3,0000|4,00
135755 - COURO BOV.,ACAB. NAPA MINUANO,MARROM,10/12MM|OC- 750041 OI - 3024|314,6400|4,00
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC- 750041 OI - 3024|2,0000|4,00
130444 - COURO BOV.,ACAB. NAPA MINUANO,CAFE,10/12MM(60/2)|OC - 3451811 OI - 2811|3,5200|4,00
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC - 5007711 OI - 2887|3,0000|4,00
129784 - COURO BOV.,ACAB. NAPA MINUANO,COR PRETO,10/12MM|OC- 8819711|205,1700|4,00
130444 - COURO BOV.,ACAB. NAPA MINUANO,CAFE,10/12MM (142/2)|OC- 750041 OI - 3024|197,7900|4,00
129784 - COURO BOV.,ACAB. NAPA MINUANO,COR PRETO,10/12MM|OC- 4499311 OI - 3022|210,7300|4,00
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC- 4499311 OI - 3022|3,0000|4,00
135755 - COURO BOV.,ACAB. NAPA MINUANO,MARROM,10/12MM(117PC|OC- 4499311 OI - 3022|106,0100|4,00
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC - 5007711 OI - 2887|3,0000|4,00
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC- 9396111|167,1200|4,00
135283 - COURO BOV.,ACAB.,NAPA MINUANO,FENDI,10/12MM(120/2)|OC- 8819711|239,3400|4,00
135764 - COURO BOV.,ACAB. NAPA MINUANO.CARAMELO,10/12MM|OC- 9398511|496,8500|4,00
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC-9398511 OI - 2779|3,0000|4,00
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC- 8819711|176,7600|4,00
129784 - COURO BOV.,ACAB. NAPA MINUANO,COR PRETO,10/12MM|OC- 8001411 OI - 3035|3,0000|4,00
135755 - COURO BOV.,ACAB. NAPA MINUANO,MARROM,10/12MM|OC- 8001411 OI - 3035|3,0000|4,00
135133 - COURO BOV.,ACAB. NAPA MINUANO,BEGE,10/12MM(34/2)|OC - 8000811 OI - 3033|212,9700|4,00
135074 - COURO BOV.,ACAB. NAPA MINUANO.MARINHO,10/12MM|OC - 8000811 OI - 3033|206,5900|4,00
130444 - COURO BOV.,ACAB. NAPA MINUANO,CAFE,10/12MM(60/2)|OC - 8000811 OI - 3033|3,0000|4,00
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC - 8000811 OI - 3033|3,0000|4,00
148573 - CAL TAP LEOPARDO PREMIUM WI-60 FUNDO BEGE-SANDRA|OC- 9396111 OI - 3095|420,5300|90,43
148573 - CAL TAP LEOPARDO PREMIUM WI-60 FUNDO BEGE-SANDRA|OC- 9396111 OI - 3095|100,9100|01,60
144847 - CAMURÇA CIMENTO 10/12"ANDARELLA(AMOS)(7PC)|OC- 9396111 OI - 3095|53,2100|73,51
144850 - CAMURÇA CHOCO 10/12"ANDARELLA(AMOS)(5PC)|OC- 9396111 OI - 3095|45,1400|3,13
153588 - COURO BOV.,ACAB.,SEMI CROMO,BLACK 8719,11/13MM|OC- 9396111 OI - 3095|103,8300|05,97
153568 - COURO BOV.,ACAB.,SEMI CROMO,COGNAC 8717,14/16MM|OC- 9398511 OI - 3097|2,0000|6,72
153438 - COURO BOV.,ACAB. NUBUCADO,NUT,12/14MM(6/2)|OC- 9398511 OI - 3097|78,5500|9,22
153571 - COURO BOV.,ACAB,SEMI CROMO,BLACK 8718,14/16MM(3/2)|OC- 9398511 OI - 3097|23,8000|35,79
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC- 9398511 OI - 3097|7,5300|89,94
153568 - COURO BOV.,ACAB.,SEMI CROMO,COGNAC 8717,14/16MM|OC- 9398511 OI - 3097|6,6600|63,76
